timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1777069396.804689,2.0,0.0,4.5,0.5,4.5,0.5
1777069400.816045,2.0,0.0,4.0,0.0,4.0,0.0
1777069404.839732,2.0,0.0,5.0,0.0,5.0,0.0
1777069408.8780787,2.0,0.0,4.5,0.5,4.5,0.5
1777069412.8421583,2.0,0.0,4.0,0.0,4.0,0.0
1777069416.8894563,2.0,0.0,4.0,0.0,4.0,0.0
1777069420.8839588,2.0,0.0,4.0,0.0,4.0,0.0
1777069424.8953815,2.0,0.0,4.0,0.0,4.0,0.0
1777069428.9140453,2.0,0.0,4.0,0.0,4.0,0.0
1777069432.9004438,2.0,0.0,4.0,0.0,5.0,1.0
1777069436.952797,2.0,0.0,4.0,0.0,6.0,0.0
1777069440.9624665,2.0,0.0,4.0,0.0,6.0,0.0
1777069444.933231,2.0,0.0,4.0,0.0,6.0,0.0
1777069448.9677365,2.0,0.0,4.0,0.0,6.0,0.0
